indicator, indicator.label
"EAR_HTEM_SEX_NB","Mean nominal hourly earnings of STEM employees"
"EAR_4HCR_SEX_CUR_NB","Average hourly earnings of care employees by sex and currency"
"EAR_4MST_SEX_CUR_NB","Average monthly earnings of STEM employees"
"EAR_4HST_SEX_CUR_NB","Average hourly earnings of STEM employees"
"EMP_TNIF_SEX_NB","Informal tourism sector employment (thousands)"
"EMP_TNIF_SEX_RT","Informal tourism sector employment rate (%)"
"EMP_TOUR_SEX_AGE_NB","Tourism sector employment by sex and age (thousands)"
"EMP_TOUR_SEX_CBR_NB","Tourism sector employment by sex and place of birth (thousands)"
"EMP_TOUR_SEX_CCT_NB","Tourism sector employment by sex and citizenship (thousands)"
"EMP_TOUR_SEX_EC2_NB","Tourism sector employment by sex and economic activity - ISIC level 2 (thousands)"
"EMP_TOUR_SEX_ECO_NB","Tourism sector employment by sex and economic activity (thousands)"
"EMP_TOUR_SEX_EDU_NB","Tourism sector employment by sex and education (thousands)"
"EMP_TOUR_SEX_GEO_NB","Tourism sector employment by sex and rural / urban areas (thousands)"
"EMP_TOUR_SEX_HOW_NB","Tourism sector employment by sex and weekly hours actually worked (thousands)"
"EMP_TOUR_SEX_JOB_NB","Tourism sector employment by sex and working time arrangement (thousands)"
"EMP_TOUR_SEX_MTS_NB","Tourism sector employment by sex and marital status (thousands)"
"EMP_TOUR_SEX_OC2_NB","Tourism sector employment by sex and occupation - ISCO level 2 (thousands)"
"EMP_TOUR_SEX_OCU_NB","Tourism sector employment by sex and occupation (thousands)"
"EMP_TOUR_SEX_STE_NB","Tourism sector employment by sex and status in employment (thousands)"
"EMP_TPIF_SEX_NB","Tourism sector employment outside the formal sector (thousands)"
"EMP_TPIF_SEX_RT","Share of tourism sector employment outside the formal sector (%)"
"EES_TOUR_SEX_INS_NB","Tourism sector employees by sex and public/private sector (thousands)"
"EES_TOUR_SEX_JOB_NB","Tourism sector employees by sex and type of job contract (thousands)"
"HOW_TOUR_SEX_NB","Mean weekly hours actually worked per person in tourism sector employment"
"HOW_TOUE_SEX_NB","Mean weekly hours actually worked per employee in tourism sector employment"
"EAR_TOUR_SEX_NB","Mean nominal monthly earnings of tourism sector employees"
"EAR_HOUR_SEX_NB","Mean nominal hourly earnings of tourism sector employees"
"EAR_4MTR_SEX_CUR_NB","Average monthly earnings of tourism sector employees"
"EAR_4HTR_SEX_CUR_NB","Average hourly earnings of tourism sector employees"
"EMP_PUBL_SEX_AGE_NB","Public sector employment by sex and age (thousands)"
"EMP_PUBL_SEX_CBR_NB","Public sector employment by sex and place of birth (thousands)"
"EMP_PUBL_SEX_EC2_NB","Public sector employment by sex and economic activity - ISIC level 2 (thousands)"
"EMP_PUBL_SEX_ECO_NB","Public sector employment by sex and economic activity (thousands)"
"EMP_PUBL_SEX_EDU_NB","Public sector employment by sex and education (thousands)"
"EMP_PUBL_SEX_GEO_NB","Public sector employment by sex and rural / urban areas (thousands)"
"EMP_PUBL_SEX_HOW_NB","Public sector employment by sex and weekly hours actually worked (thousands)"
"EMP_PUBL_SEX_JOB_NB","Public sector employment by sex and working time arrangement (thousands)"
"EMP_PUBL_SEX_MTS_NB","Public sector employment by sex and marital status (thousands)"
"EMP_PUBL_SEX_OC2_NB","Public sector employment by sex and occupation - ISCO level 2 (thousands)"
"EMP_PUBL_SEX_OCU_NB","Public sector employment by sex and occupation (thousands)"
"EMP_PUBL_SEX_STE_NB","Public sector employment by sex and status in employment (thousands)"
"EES_PUBL_SEX_JOB_NB","Public sector employees by sex and type of job contract (thousands)"
"HOW_PUBL_SEX_NB","Mean weekly hours actually worked per person in the public sector"
"HOW_PUBE_SEX_NB","Mean weekly hours actually worked per employee in the public sector"
"EAR_PUBL_SEX_NB","Mean nominal monthly earnings of public sector employees"
"EAR_HUBL_SEX_NB","Mean nominal hourly earnings of public sector employees"
"EAR_4MPS_SEX_CUR_NB","Average monthly earnings of public sector employees"
"EAR_4HPS_SEX_CUR_NB","Average hourly earnings of public sector employees"
"POP_2POP_SEX_AGE_NB","Population by sex and age -- UN estimates and projections, July 2022 (thousands)"
"POP_2POP_SEX_AGE_GEO_NB","Population by sex, age and rural / urban areas -- UN estimates, July 2022 (thousands)"
"POP_2POP_GEO_NB","Population by rural / urban areas -- UN estimates and projections, July 2022 (thousands)"
"POP_2LDR_NOC_RT","Labour dependency ratio -- ILO modelled estimates, Nov. 2022"
"EAP_2EAP_SEX_AGE_NB","Labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)"
"EAP_2EAP_SEX_AGE_GEO_NB","Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)"
"EAP_2WAP_SEX_AGE_RT","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)"
"EAP_2WAP_SEX_AGE_GEO_RT","Labour force participation rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)"
"EMP_2EMP_SEX_AGE_NB","Employment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)"
"EMP_2EMP_SEX_AGE_GEO_NB","Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)"
"EMP_2EMP_SEX_STE_NB","Employment by sex and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)"
"EMP_2EMP_AGE_STE_NB","Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)"
"EMP_2EMP_SEX_GEO_STE_NB","Employment by sex, rural / urban areas and status in employment -- ILO modelled estimates, Nov. 2021 (thousands)"
"EMP_2EMP_SEX_ECO_NB","Employment by sex and economic activity -- ILO modelled estimates, Nov. 2023 (thousands)"
"EMP_2EMP_SEX_GEO_ECO_NB","Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)"
"EMP_2EMP_SEX_OCU_NB","Employment by sex and occupation -- ILO modelled estimates, Nov. 2023 (thousands)"
"EMP_2EMP_SEX_GEO_OCU_NB","Employment by sex, rural / urban areas and occupation -- ILO modelled estimates, Nov. 2020 (thousands)"
"EMP_2EMP_SEX_AGE_CLA_NB","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2023 (thousands)"
"EMP_2IFL_SEX_NB","Informal employment by sex -- ILO modelled estimates, Nov. 2023 (thousands)"
"EMP_2IFL_SEX_RT","Informal employment rate by sex -- ILO modelled estimates, Nov. 2023 (%)"
"EMP_2WAP_SEX_AGE_RT","Employment-to-population ratio by sex and age -- ILO modelled estimates, Nov. 2023 (%)"
"EMP_2WAP_SEX_AGE_GEO_RT","Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)"
"EMP_2TRU_SEX_AGE_NB","Time-related underemployment by sex and age -- ILO modelled estimates, Nov. 2022 (thousands)"
"EMP_2TRU_SEX_AGE_GEO_NB","Time-related underemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)"
"EMP_2TRU_SEX_AGE_RT","Time-related underemployment rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)"
"UNE_2UNE_SEX_AGE_NB","Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)"
"UNE_2UNE_SEX_AGE_GEO_NB","Unemployment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)"
"UNE_2EAP_SEX_AGE_RT","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)"
"UNE_2EAP_SEX_AGE_GEO_RT","Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)"
"LUU_2LU2_SEX_AGE_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex and age -- ILO modelled estimates, Nov. 2022 (%)"
"LUU_2LU2_SEX_AGE_GEO_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)"
"LUU_2LU3_SEX_AGE_RT","Combined rate of unemployment and potential labour force (LU3) by sex and age -- ILO modelled estimates, Nov. 2022 (%)"
"LUU_2LU3_SEX_AGE_GEO_RT","Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)"
"LUU_2LU4_SEX_AGE_NB","Composite measure of labour underutilization (LU4) by sex and age -- ILO modelled estimates, Nov. 2022 (thousands)"
"LUU_2LU4_SEX_AGE_RT","Composite rate of labour underutilization (LU4) by sex and age -- ILO modelled estimates, Nov. 2022 (%)"
"LUU_2LU4_SEX_AGE_GEO_RT","Composite rate of labour underutilization (LU4) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)"
"LUU_2LUX_SEX_NB","Jobs gap by sex -- ILO modelled estimates, Nov. 2023 (thousands)"
"LUU_2LUX_SEX_RT","Jobs gap rate by sex -- ILO modelled estimates, Nov. 2023 (%)"
"EIP_2PLF_SEX_AGE_NB","Potential labour force by sex and age -- ILO modelled estimates, Nov. 2022 (thousands)"
"EIP_2PLF_SEX_AGE_GEO_NB","Potential labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)"
"EIP_2PLF_SEX_AGE_RT","Potential labour force rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)"
"EIP_2JOB_SEX_NB","Potential labour force and willing non-jobseekers by sex -- ILO modelled estimates, Nov. 2023 (thousands)"
"EIP_2JOB_SEX_RT","Potential labour force and willing non-jobseekers rate -- ILO modelled estimates, Nov. 2023 (%)"
"EIP_2EIP_SEX_AGE_NB","Persons outside the labour force by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)"
"EIP_2EET_SEX_NB","Youth not in employment, education or training (NEET) by sex -- ILO modelled estimates, Nov. 2023 (thousands)"
"GDP_2HRW_NOC_NB","Output per hour worked (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2023"
"EIP_2EET_SEX_GEO_NB","Youth not in employment, education or training (NEET) by sex and rural / urban areas -- ILO modelled estimates, Nov. 2020 (thousands)"
"EIP_2WAP_SEX_AGE_RT","Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)"
"EIP_2WAP_SEX_AGE_GEO_RT","Inactivity rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)"
"EIP_2EET_SEX_RT","Share of youth not in employment, education or training (NEET) by sex -- ILO modelled estimates, Nov. 2023 (%)"
"EIP_2EET_SEX_GEO_RT","Share of youth not in employment, education or training (NEET) by sex and rural / urban areas-- ILO modelled estimates, Nov. 2020 (%)"
"LAP_2GDP_NOC_RT","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)"
"LAP_2LID_QTL_RT","Labour income distribution -- ILO modelled estimates, Nov. 2022 (%)"
"GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2023"
"GDP_2TOT_NOC_NB","Gross Domestic Product (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2023 (millions of 2017 PPP dollars)"
"LAP_2FTM_NOC_RT","Gender income gap, ratio of women's to men's labour income -- ILO modelled estimates, Nov. 2023 (%)"
"GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2023"
"GED_2LFP_SEX_RT","Prime-age labour force participation rate of couple households with children under age 6, by sex -- ILO modelled estimates, Nov. 2022"
"GED_2LFP_SEX_NB","Prime-age labour force of couple households with children under 6, by sex -- ILO modelled estimates, Nov. 2022"
"EMP_2FTE_SEX_JOB_NB","Full-time equivalent employment by sex -- ILO modelled estimates, Nov. 2023 (thousands)"
"HOW_2TDP_SEX_RT","Ratio of total weekly hours worked to population aged 15-64, by sex -- ILO modelled estimates, Nov. 2023"
"HOW_2TOT_SEX_NB","Total weekly hours worked of employed persons, by sex -- ILO modelled estimates, Nov. 2023 (thousands)"
"POP_5WAP_SEX_AGE_NB","Working-age population by sex and age -- 19th ICLS (thousands)"
"EAP_5EAP_SEX_AGE_NB","Labour force by sex and age -- 19th ICLS (thousands)"
"EAP_5WAP_SEX_AGE_RT","Labour force participation rate by sex and age -- 19th ICLS (%)"
"EMP_5EMP_SEX_AGE_NB","Employment by sex and age -- 19th ICLS (thousands)"
"EMP_5EMP_SEX_STE_NB","Employment by sex and status in employment -- 19th ICLS (thousands)"
"EMP_5WAP_SEX_AGE_RT","Employment-to-population ratio by sex and age -- 19th ICLS (%)"
"EMP_5NIF_SEX_AGE_NB","Informal employment by sex and age -- 19th ICLS (thousands)"
"EMP_5PIF_SEX_AGE_NB","Employment outside the formal sector by sex and age -- 19th ICLS (thousands)"
"EMP_5NIF_SEX_AGE_RT","Informal employment rate by sex and age -- 19th ICLS (%)"
"EMP_5PIF_SEX_AGE_RT","Share of employment outside the formal sector by sex and age -- 19th ICLS (%)"
"TRU_5TRU_SEX_AGE_NB","Time-related underemployment by sex and age -- 19th ICLS (thousands)"
"TRU_5EMP_SEX_AGE_RT","Time-related underemployment rate by sex and age -- 19th ICLS (%)"
"HOW_2EMP_SEX_NB","Mean weekly hours actually worked per employed person by sex -- ILO modelled estimates, Nov. 2023"
"UNE_5UNE_SEX_AGE_NB","Unemployment by sex and age -- 19th ICLS (thousands)"
"UNE_5EAP_SEX_AGE_RT","Unemployment rate by sex and age -- 19th ICLS (%)"
"LUU_5LU2_SEX_AGE_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex and age -- 19th ICLS (%)"
"LUU_5LU3_SEX_AGE_RT","Combined rate of unemployment and potential labour force (LU3) by sex and age -- 19th ICLS (%)"
"LUU_5LU4_SEX_AGE_RT","Composite rate of labour underutilization (LU4) by sex and age -- 19th ICLS (%)"
"EIP_5PLF_SEX_AGE_NB","Potential labour force by sex and age -- 19th ICLS (thousands)"
"EIP_5EIP_SEX_AGE_NB","Persons outside the labour force by sex and age -- 19th ICLS (thousands)"
"EIP_5WAP_SEX_AGE_RT","Inactivity rate by sex and age -- 19th ICLS (%)"
"EIP_5EET_SEX_NB","Youth not in employment, education or training (NEET) by sex -- 19th ICLS (thousands)"
"EIP_5EET_SEX_RT","Share of youth not in employment, education or training (NEET) by sex -- 19th ICLS (%)"
"FOW_5SFP_SEX_NB","Subsistence foodstuff producers by sex -- 19th ICLS (thousands)"
"FOW_5SFP_SEX_RT","Subsistence foodstuff production rate by sex -- 19th ICLS (%)"
"FOW_TVOL_SEX_VOL_NB","Number of volunteers by sex and type of volunteer work (thousands)"
"FOW_TVOL_AGE_VOL_NB","Number of volunteers by age and type of volunteer work (thousands)"
"FOW_TVOL_SEX_VOL_RT","Volunteer rate by sex and type of volunteer work (%)"
"FOW_TVOL_AGE_VOL_RT","Volunteer rate by age and type of volunteer work (%)"
"CLD_TPOP_SEX_AGE_NB","Child population by sex and age (thousands)"
"CLD_TPOP_SEX_AGE_GEO_NB","Child population by sex, age and rural / urban areas (thousands)"
"CLD_XSNA_SEX_AGE_NB","Children in employment by sex and age (thousands)"
"CLD_TPOP_SEX_AGE_STU_NB","Child population by sex, age and school attendance (thousands)"
"CLD_XSNA_SEX_AGE_GEO_NB","Children in employment by sex, age and rural / urban areas (thousands)"
"CLD_XSNA_SEX_AGE_ECO_NB","Children in employment by sex, age and economic activity (thousands)"
"CLD_XSNA_SEX_AGE_STE_NB","Children in employment by sex, age and status in employment (thousands)"
"CLD_XSNA_SEX_AGE_STU_NB","Children in employment by sex, age and school attendance status (thousands)"
"CLD_XSNN_SEX_AGE_GEO_NB","Children in employment not attending school by sex, age and rural / urban areas (thousands)"
"CLD_XSNS_SEX_AGE_GEO_NB","Children in employment attending school by sex, age and rural / urban areas (thousands)"
"CLD_XSND_SEX_AGE_NB","Children in domestic work by sex and age (thousands)"
"CLD_XCHL_SEX_AGE_NB","Children in child labour by sex and age (thousands)"
"CLD_XCHL_SEX_AGE_GEO_NB","Children in child labour by sex, age and rural / urban areas (thousands)"
"CLD_XCHL_SEX_AGE_ECO_NB","Children in child labour by sex, age and economic activity (thousands)"
"CLD_XCHL_SEX_AGE_STE_NB","Children in child labour by sex, age and status in employment (thousands)"
"CLD_XCHL_SEX_AGE_STU_NB","Children in child labour by sex, age and school attendance status (thousands)"
"CLD_XCHN_SEX_AGE_GEO_NB","Children in child labour not attending school by sex, age and rural / urban areas (thousands)"
"CLD_XCHS_SEX_AGE_GEO_NB","Children in child labour attending school by sex, age and rural / urban areas (thousands)"
"CLD_XCHD_SEX_AGE_NB","Children in child labour in domestic work by sex and age (thousands)"
"CLD_XHAZ_SEX_AGE_NB","Children in hazardous work by sex and age (thousands)"
"CLD_XHAZ_SEX_AGE_GEO_NB","Children in hazardous work by sex, age and rural / urban areas (thousands)"
"CLD_XHAZ_SEX_AGE_ECO_NB","Children in hazardous work by sex, age and economic activity (thousands)"
"CLD_XHAZ_SEX_AGE_STE_NB","Children in hazardous work by sex, age and status in employment (thousands)"
"CLD_XHAZ_SEX_AGE_STU_NB","Children in hazardous work by sex, age and school attendance status (thousands)"
"CLD_XHAN_SEX_AGE_GEO_NB","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)"
"CLD_XHAS_SEX_AGE_GEO_NB","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)"
"CLD_XHAD_SEX_AGE_NB","Children in hazardous domestic work by sex and age (thousands)"
"CLD_XSNA_SEX_AGE_RT","Share of children engaged in economic activity by sex and age (%)"
"CLD_XSNA_SEX_AGE_GEO_RT","Share of children engaged in economic activity by sex, age and rural / urban areas (%)"
"CLD_XSNA_SEX_AGE_STU_RT","Share of children engaged in economic activity by sex, age and school attendance (%)"
"CLD_XCHL_SEX_AGE_RT","Share of children in child labour by sex and age (%)"
"CLD_XCHL_SEX_AGE_GEO_RT","Share of children in child labour by sex, age and and rural / urban areas (%)"
"CLD_XCHL_SEX_AGE_STU_RT","Share of children in child labour by sex, age and school attendance (%)"
"CLD_XHAZ_SEX_AGE_RT","Share of children in hazardous work by sex and age (%)"
"CLD_XHAZ_SEX_AGE_GEO_RT","Share of children in hazardous work by sex, age and rural / urban areas (%)"
"CLD_XHAZ_SEX_AGE_STU_RT","Share of children in hazardous work by sex, age and school attendance (%)"
